unit_number,unit_type,rate,move_in_date,is_primary,CommunityNumber,CommunityName,Level,RoomNumber,RoomType,RoomTypeStyle,CareType,Grade,GrossUnitArea,RoomPrice,RentRatePrevious,HospitalityRatePrevious,TrueRatePrevious,PriceBase,PriceGross,PriceSpecial,PriceSemi,PriceAdditional,PriceDaily,OccupancyResident,LeaseStartDT,LeaseEndDT,BedNumber,MoveInDT,Payor,Service,CareLevel,CareRate,RentRate,MedRate,IncontinenceRate,HospitalityRate,HospitalityPrice,FoodTaxRate,PricingPolicyFlg,OfflineStatus,VacantDay,MedLevel,OfflineDT,OnlineDTEstimate,OnlineDTActual,OfflineReason,Characteristic,OfflineNote,SupplementProgram
1,AL,3850.0,2018-01-16 00:00:00,True,10362,Heritage Sun City,First,1,Studio Deluxe,Studio,AL,B,570,3850.0,0.0,0,0.0,3850,3850,3850,0.0,840.0,175.0,1,2018-01-16,2020-12-31,A,2018-01-16,Singular Private Pay,Assisted Living,Care Fees - AL,991.0,4531.0,0.0,0,0,0,0,1,ONLINE,,,,,,,,,
10,AL,3830.0,2018-01-30 00:00:00,True,10362,Heritage Sun City,First,10,Studio Deluxe,Studio,AL,A,487,3830.0,0.0,0,0.0,3830,3830,3830,0.0,840.0,175.0,1,2018-01-30,2020-12-31,A,2018-01-30,Singular Private Pay,Assisted Living,Level 0,0.0,4508.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
102,IL,3249.0,2008-09-30 00:00:00,True,10362,Heritage Sun City,First,102,One Bedroom,One Bedroom,IL,A,1164,3249.0,0.0,0,0.0,3249,3249,3249,0.0,600.0,150.0,1,2008-09-30,2020-12-31,A,2008-09-30,Singular Private Pay,Independent Living,Independent,0.0,2040.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
103,IL,3574.0,2019-08-31 00:00:00,True,10362,Heritage Sun City,First,103,Two Bedroom,Two Bedroom,IL,A,1422,3574.0,630.0,0,630.0,3574,3574,3574,0.0,600.0,150.0,1,2019-08-31,2020-12-31,A,2019-08-31,Singular Private Pay,Independent Living,Independent,0.0,3574.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
104,IL,2999.0,2019-12-31 00:00:00,True,10362,Heritage Sun City,First,104,One Bedroom Deluxe,One Bedroom,IL,A,1155,2999.0,2999.0,0,2999.0,2999,2999,2999,0.0,600.0,150.0,1,2019-12-31,2020-12-31,A,2019-12-31,Singular Private Pay,Independent Living,Independent,0.0,3099.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
105,IL,600.0,2018-04-26 00:00:00,True,10362,Heritage Sun City,First,105,One Bedroom Deluxe,One Bedroom,IL,A,1213,600.0,3324.0,0,3324.0,3324,3324,3324,0.0,600.0,150.0,2,2018-03-26,2020-12-31,B,2018-04-26,Second Person Fee,Independent Living,Independent,0.0,680.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
105,IL,3324.0,2018-03-26 00:00:00,True,10362,Heritage Sun City,First,105,One Bedroom Deluxe,One Bedroom,IL,A,1213,3324.0,3324.0,0,3324.0,3324,3324,3324,0.0,600.0,150.0,2,2018-03-26,2020-12-31,A,2018-03-26,Singular Private Pay,Independent Living,Independent,0.0,3818.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
106,IL,600.0,2019-11-25 00:00:00,True,10362,Heritage Sun City,First,106,Two Bedroom Deluxe,Two Bedroom,IL,A,1585,600.0,600.0,0,600.0,3749,3749,3749,0.0,600.0,150.0,2,2019-11-25,2020-12-31,B,2019-11-25,Second Person Fee,Independent Living,Independent,0.0,600.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
106,IL,3749.0,2019-11-25 00:00:00,True,10362,Heritage Sun City,First,106,Two Bedroom Deluxe,Two Bedroom,IL,A,1585,3749.0,600.0,0,600.0,3749,3749,3749,0.0,600.0,150.0,2,2019-11-25,2020-12-31,A,2019-11-25,Singular Private Pay,Independent Living,Independent,0.0,3749.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
107,IL,600.0,2017-02-17 00:00:00,True,10362,Heritage Sun City,First,107,Two Bedroom Deluxe,Two Bedroom,IL,A,1599,600.0,0.0,0,0.0,3799,3799,3799,0.0,600.0,150.0,2,2017-02-17,2020-12-31,B,2017-02-17,Second Person Fee,Independent Living,Independent,0.0,1015.0,0.0,0,0,0,0,0,ONLINE,,,,,,,,,
